Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HS,AS,H_av_goals,H_conceded,A_av_goals,A_conceded,H attack,A attack,H def,A def,lambda h,lambda a,P(0 0),P(0 1),P(1 0),P(1 1),h win,h draw,a win,A D,h p,a p,gd,h win rt,a win rt,gpg,P(h),P(d),P(A),exp_home_corners,exp_away_corners,exp_home_yellows,exp_away_yellows
2021-04-29,Sivasspor,Yeni Malatyaspor,1,0,8.0,2.0,1.0,3.0,21.0,7.0,1.3085106382978724,1.053191489361702,0.7692307692307693,1.5128205128205128,0.8195778997940975,0.6143299716564499,0.8411092271509052,0.9475461814171492,1.2398742586628653,0.6470070978083887,0.16977910405127677,0.07981441809893947,0.16965969140818854,0.13980489183486433,1,0,0,0,3,0,1,35.1063829787234,12.82051282051282,1.2925531914893618,0.4880759892306622,0.33625069239381816,0.17567254564523627,5.716049382716049,3.2416282833312575,1.5698978320458512,1.8700413725967386
2021-04-29,Alanyaspor,Fenerbahce,0,0,4.0,3.0,3.0,0.0,16.0,11.0,1.7872340425531914,1.3404255319148937,2.1595744680851063,0.925531914893617,1.119423472889499,1.724698718299331,1.070502652737516,0.5797014413177762,1.036062150440281,2.3118301968693165,0.04779007842199201,0.06864849856678318,0.02379456371397271,0.09684303875522392,0,1,0,1,1,1,0,46.80851063829788,68.08510638297872,1.4627659574468086,0.1427856255561633,0.21069373231637023,0.6463705558173727,4.252986404199144,4.7818067847859105,2.8423077651119817,2.394950400747174
2021-04-29,Ankaragucu,Gaziantep,0,1,8.0,4.0,1.0,4.0,15.0,10.0,1.2456140350877194,1.2456140350877194,1.0425531914893618,1.797872340425532,0.7801829843425769,0.8326131743514013,0.9947834453314092,1.1260867078471746,1.402669408020165,1.0371146557710438,0.10620309482613248,0.07139189814584392,0.103260842523932,0.1458462211354156,0,0,1,0,0,3,-1,35.08771929824561,18.08510638297873,1.1842105263157894,0.4343473360880209,0.30634662822757697,0.2593035942999387,4.887548545220268,3.98302546255071,1.97239652946107,2.476461693959228
2021-05-01,Besiktas,Hatayspor,7,0,3.0,3.0,0.0,3.0,17.0,9.0,1.9680851063829787,0.9893617021276596,0.9787234042553192,1.9574468085106385,1.232698467169984,0.7816368575543766,0.7901329103538808,1.2260352322123085,2.4129416804178407,0.7733215718357132,0.052893032290305314,0.02039126853670309,0.088150221671728,0.08868052231404022,1,0,0,0,3,0,7,61.70212765957447,19.148936170212767,1.7765957446808511,0.7246923711438367,0.18594318483335134,0.08915419159730847,6.666893718865614,3.546027807707001,2.3528788185025356,2.780897455871723
2021-05-02,Genclerbirligi,Galatasaray,0,2,2.0,6.0,1.0,1.0,6.0,22.0,1.35,1.75,1.946808510638298,0.9361702127659576,0.8455645161290323,1.554777662309249,1.397600685518423,0.5863646762754519,0.7915923129718601,2.720860909041186,0.039458846854296424,0.07151084588441946,0.013972994147995566,0.07386976159682113,0,0,1,0,0,3,-2,30.0,64.8936170212766,1.1,0.07347469253903056,0.15740930795911617,0.7685844353782683,4.183438071453915,7.231812455685514,3.0044744525942866,1.5601165786661302
2021-05-02,Denizlispor,Rizespor,0,1,0.0,4.0,2.0,2.0,8.0,13.0,0.85,1.35,1.118421052631579,2.039473684210526,0.5323924731182795,0.8932034456320751,1.0781491002570696,1.2774122807017545,1.085800438596491,1.2058246516033015,0.12095773276921638,0.10205561372533194,0.08992092233743412,0.15222706709921768,0,0,1,0,0,3,-1,20.0,21.052631578947366,0.95,0.30864644005739933,0.32335975343120843,0.3679929700254813,4.138209312122112,4.242416151794899,2.336716198670112,1.9854115164401631
2021-05-02,Konyaspor,Karagumruk,5,1,7.0,5.0,2.0,4.0,20.0,10.0,1.3829787234042554,1.0,1.1842105263157894,1.7236842105263157,0.8662205444978266,0.9457448247869028,0.7986289631533848,1.0796194114318052,1.4930906753844115,0.9457448247869028,0.10574567121233636,0.06404471023565654,0.11180742792249665,0.14170500738746386,1,0,0,0,3,0,4,42.5531914893617,23.684210526315788,1.324468085106383,0.48090461318137834,0.2984132856559494,0.22067809720785336,4.741754466330737,4.609797087016059,2.172065786194867,2.5526629087106083
2021-05-02,Antalyaspor,Goztep,2,3,7.0,2.0,0.0,1.0,14.0,7.0,1.425531914893617,1.202127659574468,1.2105263157894737,1.912280701754386,0.8928734843285289,0.9667613764488342,0.9600539663439626,1.1977457083569136,1.7074247331896426,1.1621705908374282,0.07360501872257454,0.04903735324085258,0.07996519104622198,0.12943742818117743,0,0,1,0,0,3,-1,44.680851063829785,19.29824561403509,1.180851063829787,0.4844281526336384,0.27284394816403623,0.24271504330887267,4.64749654005279,4.235668783077952,1.4093296954676588,1.9161590297665356
2021-05-03,Buyuksehyr,Ankaragucu,2,1,7.0,5.0,3.0,5.0,8.0,8.0,1.6063829787234043,1.0851063829787233,1.1228070175438596,1.736842105263158,1.006148478609014,0.8967062042423969,0.8665973855494175,1.0878607809847198,1.7475210417946034,0.9730216258800476,0.08263167611386744,0.04727012632916346,0.09826240578453936,0.12874372735170284,1,0,0,0,3,0,1,51.06382978723404,17.543859649122805,1.4361702127659577,0.5390259612377343,0.26897997065244394,0.19197886508046855,4.770515439247017,3.5297172600522844,1.7426597254574807,1.8094858619694083
2021-05-03,Kasimpasa,Alanyaspor,3,0,1.0,5.0,0.0,1.0,9.0,18.0,1.6595744680851063,1.627659574468085,1.1382978723404256,1.5638297872340423,1.039464653397392,0.909077649546938,1.2998960783241262,0.9794955387783116,1.6255457877597512,1.479668940220016,0.06098368011237004,0.050142421873890265,0.05667987740845707,0.12396068958546894,1,0,0,0,3,0,3,40.42553191489361,28.72340425531916,1.50531914893617,0.3965760521201674,0.26995625911917187,0.3334558695024957,5.315864433779506,4.8790914895411275,2.3482512479602584,1.7280399437897922
