Date,HomeTeam,AwayTeam,FTHG,FTAG,HC,AC,HY,AY,HS,AS,H_av_goals,H_conceded,A_av_goals,A_conceded,H attack,A attack,H def,A def,lambda h,lambda a,P(0 0),P(0 1),P(1 0),P(1 1)
2021-02-08,Yeni Malatyaspor,Trabzonspor,0,2,11.0,4.0,1.0,2.0,11.0,10.0,1.1794871794871795,1.6666666666666667,1.372340425531915,1.2872340425531914,0.7387648194099807,1.0959908111360281,1.331048271922308,0.8062514298787462,0.9509632249851879,1.8266513518933802,0.06218667211481286,0.11359336868827326,0.059137238265398885,0.10802311622473179
2021-02-12,Rizespor,Erzurum BB,0,2,3.0,1.0,4.0,3.0,10.0,17.0,1.4736842105263157,1.3289473684210527,1.3,1.9,0.9230333899264289,1.0382176520994002,1.0613358589275246,1.1900537634408601,1.753763440860215,1.3797366166057818,0.04356504991823846,0.06010829457645231,0.0764027918458569,0.10541572952063838
2021-02-13,Kayserispor,Ankaragucu,0,0,12.0,4.0,1.0,2.0,23.0,4.0,1.4148936170212767,1.2553191489361701,1.1228070175438596,1.736842105263158,0.8862102493708534,0.8967062042423969,1.002534230341483,1.0878607809847198,1.539207275223061,1.1256524691553491,0.06960911591845978,0.07835567320933517,0.10714285764353869,0.1206056222588094
2021-02-13,Trabzonspor,Gaziantep,1,0,2.0,4.0,3.0,4.0,8.0,9.0,1.925531914893617,1.074468085106383,1.0425531914893618,1.797872340425532,1.2060455273392816,0.8326131743514013,0.8581013327499135,1.1260867078471746,2.168315894897219,0.8946162830796971,0.04675041351822587,0.04182368117411405,0.10136966472458699,0.09068695267294509
2021-02-13,Karagumruk,Fenerbahce,1,2,8.0,4.0,2.0,1.0,12.0,7.0,1.9078947368421053,1.1578947368421053,2.1595744680851063,0.925531914893617,1.1949985851726088,1.724698718299331,0.9247282731249719,0.5797014413177762,1.1060093288299677,1.99701956855712,0.04491295941929219,0.08969205884213831,0.04967415210309893,0.09920025380137136
2021-02-14,Hatayspor,Alanyaspor,0,0,3.0,7.0,2.0,3.0,7.0,13.0,1.4574468085106382,1.4680851063829787,1.1382978723404256,1.5638297872340425,0.9128631892015556,0.909077649546938,1.172455286331565,0.9794955387783115,1.4275626469428582,1.334603357845505,0.06315482644826712,0.08428664344200738,0.09015747121170502,0.12032446381400094
2021-02-14,Goztep,Buyuksehyr,2,1,3.0,5.0,1.0,2.0,13.0,12.0,1.5614035087719298,1.3508771929824561,1.2659574468085106,1.3297872340425532,0.9779758536125259,1.0110302831409872,1.0788496519791337,0.8329043697094486,1.3004998053358057,1.3657777509097546,0.06951049321858674,0.09493588509270916,0.0903983828995679,0.12346410008245068
2021-02-14,Konyaspor,Denizlispor,2,0,3.0,4.0,3.0,2.0,11.0,8.0,1.3829787234042554,1.0,1.05,2.5,0.8662205444978266,0.8385604113110541,0.7986289631533848,1.5658602150537633,2.1655513612445665,0.8385604113110541,0.04958277555713629,0.041578152665135884,0.10737404710204031,0.0900396251020194
2021-02-14,Galatasaray,Kasimpasa,2,1,8.0,2.0,0.0,4.0,15.0,8.0,2.276595744680851,0.9042553191489362,1.351063829787234,1.5957446808510638,1.425932280942576,1.0789987055370198,0.7221644879578479,0.9994852436513383,2.27542385256794,0.9756903188366669,0.03873103077590666,0.037789491766617125,0.08812951126204101,0.08598711094218041
2021-02-15,Genclerbirligi,Besiktas,0,3,2.0,9.0,3.0,2.0,5.0,20.0,1.35,1.75,1.5851063829787233,1.2553191489361701,0.8455645161290323,1.2659118671261098,1.3976006855184233,0.7862617250057194,1.0614533287577215,2.215345767470692,0.037748894207661574,0.083626853009642,0.04006868941364545,0.08876600150061718
2021-02-15,Antalyaspor,Yeni Malatyaspor,1,1,1.0,3.0,0.0,3.0,11.0,3.0,1.425531914893617,1.202127659574468,0.7692307692307693,1.5128205128205128,0.8928734843285289,0.6143299716564499,0.9600539663439626,0.9475461814171491,1.3507573224457232,0.7385030510338174,0.12377865194304986,0.09141091211279527,0.16719492047453516,0.12347395888780067
2021-02-19,Buyuksehyr,Trabzonspor,0,1,3.0,3.0,3.0,2.0,7.0,10.0,1.6063829787234043,1.0851063829787233,1.372340425531915,1.2872340425531914,1.006148478609014,1.0959908111360281,0.8665973855494175,0.8062514298787462,1.2951485735286243,1.1892666248497326,0.0833742976826394,0.09915426960424945,0.1079821027126213,0.12841951083721628
2021-02-20,Kasimpasa,Karagumruk,3,2,13.0,3.0,1.0,2.0,13.0,8.0,1.6595744680851063,1.627659574468085,1.1842105263157894,1.7236842105263157,1.039464653397392,0.9457448247869029,1.2998960783241262,1.0796194114318052,1.791708810461294,1.539350619068044,0.035755204875036445,0.055039796759292096,0.06406291559445142,0.09861528877962263
2021-02-20,Denizlispor,Genclerbirligi,1,0,5.0,4.0,2.0,1.0,10.0,12.0,0.85,1.35,0.85,2.05,0.5323924731182795,0.6788346186803771,1.0781491002570696,1.284005376344086,1.091404569892473,0.9164267352185091,0.13427957054092834,0.12305738843736647,0.14655333693156788,0.13430539609957493
2021-02-20,Yeni Malatyaspor,Konyaspor,2,3,3.0,8.0,2.0,3.0,7.0,11.0,1.1794871794871795,1.6666666666666667,1.2659574468085106,1.5212765957446808,0.7387648194099807,1.0110302831409872,1.331048271922308,0.9528425989476091,1.1238656295279492,1.6850504719016453,0.06027028387583948,0.10155847028662943,0.06773570052994854,0.1141380741425783
2021-02-20,Alanyaspor,Galatasaray,0,1,12.0,1.0,3.0,0.0,24.0,8.0,1.7872340425531914,1.3404255319148937,1.946808510638298,0.9361702127659575,1.119423472889499,1.554777662309249,1.0705026527375159,0.5863646762754519,1.0479709107901694,2.0840636750102703,0.04362894006766982,0.09092548917423081,0.04572186005952565,0.09528726770396034
2021-02-21,Fenerbahce,Goztep,0,1,13.0,1.0,1.0,2.0,22.0,6.0,2.3191489361702127,1.1063829787234043,1.2105263157894737,1.912280701754386,1.4525852207732783,0.9667613764488342,0.8835894911484258,1.1977457083569136,2.777750685338374,1.0696083313901996,0.021336010142578875,0.02282117420712817,0.05926611679593498,0.0633915322940767
2021-02-21,Erzurum BB,Hatayspor,1,3,3.0,7.0,3.0,2.0,15.0,10.0,0.9,1.5,0.9787234042553191,1.9574468085106382,0.5637096774193548,0.7816368575543766,1.1979434447300772,1.2260352322123083,1.1034317089910775,1.172455286331565,0.10270576848465258,0.12041792119657677,0.11332880164226214,0.1328729525790916
